Teacher Model,Student Model,Test Accuracy,F1-Score
AutoEncoder,XGBoost,0.9985575727430988,0.9985566991242407
AutoEncoder,Random Forest,0.9988062670977369,0.9988052651458479
AutoEncoder,Decision Tree,0.9982094006466053,0.9982090674849938
AutoEncoder,Bagging,0.9987565282268093,0.998755775107104
AutoEncoder,AdaBoost,0.9853767719472768,0.9853548977611458
AutoEncoder,XGBoost,0.9390512961941533,0.9380741720343739
AutoEncoder,Random Forest,0.9842801985659129,0.9842509829148458
AutoEncoder,Decision Tree,0.9718698290126861,0.9718637711478666
AutoEncoder,Bagging,0.9851075565361279,0.9851043494312234
AutoEncoder,AdaBoost,0.7002206287920574,0.6556646212454568
AutoEncoder,XGBoost,0.9985575727430988,0.9985566991242407
AutoEncoder,Random Forest,0.9988062670977369,0.9988052651458479
AutoEncoder,Decision Tree,0.9982094006466053,0.9982090674849938
AutoEncoder,Bagging,0.9987565282268093,0.998755775107104
AutoEncoder,AdaBoost,0.9853767719472768,0.9853548977611458
AutoEncoder,XGBoost,0.9390512961941533,0.9380741720343739
AutoEncoder,Random Forest,0.9842801985659129,0.9842509829148458
AutoEncoder,Decision Tree,0.9718698290126861,0.9718637711478666
AutoEncoder,Bagging,0.9851075565361279,0.9851043494312234
AutoEncoder,AdaBoost,0.7002206287920574,0.6556646212454568
